"","202506","202505","202504","202503","202502","202501","202412","202411","202410","202409","202408","202407","202406","202405","202404","202403","202402","202401"
"95700 - No Issue Found - Unit Operating as Designed","1,335","1,997","1,439","1,686","2,188","1,865","1,906","2,323","2,095","2,079","2,461","2,083","2,038","2,698","1,935","1,667","2,283","1,931"
"PPT PROFIT PER CALL","$56.71","$57.97","$51.28","$59.25","$62.64","$67.26","$64.63","$60.30","$65.04","$68.28","$68.43","$70.78","$63.03","$64.47","$56.01","$44.84","$59.76","$64.27"
"TOTAL REVENUE PER CALL","$136.50","$133.91","$131.22","$133.43","$132.83","$133.81","$134.04","$134.49","$134.46","$134.69","$134.50","$131.85","$128.38","$131.40","$129.32","$128.95","$125.51","$118.25"
"PPT COST PER CALL","$79.79","$75.94","$79.94","$74.18","$70.18","$66.55","$69.41","$74.20","$69.42","$66.41","$66.07","$61.07","$65.35","$66.93","$73.31","$84.11","$65.76","$53.98"
"LABOR REVENUE PER CALL","$135.60","$133.70","$130.90","$132.56","$132.79","$133.72","$134.01","$134.37","$134.25","$134.64","$134.50","$131.79","$128.38","$131.28","$129.14","$128.83","$124.89","$118.04"
"PAYROLL COST PER CALL","$47.72","$45.47","$47.70","$45.62","$42.14","$40.88","$41.28","$41.38","$40.47","$41.16","$39.97","$37.68","$40.29","$41.04","$42.63","$51.37","$38.21","$44.74"
"BENEFIT COST PER CALL","$14.82","$14.27","$15.74","$13.60","$13.40","$12.04","$12.69","$17.65","$14.16","$11.34","$13.19","$9.75","$10.59","$11.99","$14.56","$14.67","$12.70","$9.09"
"PARTS REVENUE PER CALL","$0.90","$0.21","$0.32","$0.86","$0.03","$0.10","$0.03","$0.13","$0.20","$0.05","$0.00","$0.06","$0.00","$0.12","$0.18","$0.13","$0.62","$0.21"
"PARTS COST PER CALL","$0.02","$0.00","$0.04","$0.04","$0.03","$0.03","$0.02","$0.06","$0.07","$0.13","$0.02","$0.02","$0.00","$0.10","$0.11","$0.17","$0.04","$0.06"
"PARTS UNMARKED COST PER CALL","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.01","$0.04","$0.11","$0.02","$0.00","$0.00","$0.03","$0.00","$0.05","$0.00","$0.03"
"TRUCK COST PER CALL","$17.17","$16.14","$16.38","$14.78","$14.56","$13.48","$15.35","$15.06","$14.68","$13.70","$12.88","$13.61","$14.44","$13.76","$16.01","$17.90","$14.70","$0.00"
"UPS SHIPMENT COST PER CALL","$0.05","$0.06","$0.07","$0.13","$0.04","$0.12","$0.06","$0.05","$0.05","$0.07","$0.02","$0.00","$0.03","$0.03","$0.00","$0.00","$0.11","$0.08"
"%PROFITABLE","90.94%","91.29%","89.09%","91.99%","92.92%","93.83%","93.34%","92.34%","93.60%","93.60%","94.07%","94.00%","92.15%","94.22%","91.73%","85.24%","88.04%","91.77%"
"%UNPROFITABLE","9.06%","8.71%","10.91%","8.01%","7.08%","6.17%","6.66%","7.66%","6.40%","6.40%","5.93%","6.00%","7.85%","5.78%","8.27%","14.76%","11.96%","8.23%"
"PROFITABLE SOS","1,214","1,823","1,282","1,551","2,033","1,750","1,779","2,145","1,961","1,946","2,315","1,958","1,878","2,542","1,775","1,421","2,010","1,772"
"UNPROFITABLE SOS","121","174","157","135","155","115","127","178","134","133","146","125","160","156","160","246","273","159"
"TOTAL REVENUE","$182,231","$267,419","$188,824","$224,955","$290,622","$249,558","$255,479","$312,431","$281,691","$280,012","$331,013","$274,640","$261,640","$354,506","$250,234","$214,966","$286,549","$228,335"
"PPT COST","$106,525","$151,655","$115,034","$125,059","$153,556","$124,123","$132,290","$172,364","$145,437","$138,059","$162,607","$127,207","$133,181","$180,569","$141,849","$140,217","$150,126","$104,230"
"PPT PROFIT","$75,706","$115,763","$73,790","$99,896","$137,066","$125,434","$123,189","$140,066","$136,253","$141,952","$168,406","$147,434","$128,460","$173,937","$108,385","$74,749","$136,423","$124,104"
"LABOR REVENUE","$181,028","$267,006","$188,361","$223,503","$290,547","$249,379","$255,416","$312,132","$281,264","$279,907","$331,013","$274,515","$261,640","$354,195","$249,878","$214,752","$285,124","$227,929"
"PAYROLL COST","$63,711","$90,796","$68,644","$76,922","$92,211","$76,236","$78,688","$96,133","$84,775","$85,571","$98,369","$78,489","$82,120","$110,725","$82,482","$85,636","$87,228","$86,399"
"BENEFIT COST","$19,784","$28,497","$22,646","$22,931","$29,319","$22,455","$24,189","$40,993","$29,656","$23,586","$32,462","$20,315","$21,579","$32,348","$28,167","$24,454","$29,000","$17,553"
"PARTS REVENUE","$1,202","$412","$463","$1,452","$74","$179","$62","$299","$426","$105","$0","$125","$0","$312","$356","$214","$1,425","$406"
"PARTS COST","$30","$8","$65","$74","$68","$61","$40","$146","$156","$268","$39","$38","$0","$282","$222","$280","$99","$118"
"PARTS UNMARKED COST","$0","$0","$0","$0","$7","$0","$0","$12","$87","$229","$39","$0","$0","$79","$0","$89","$0","$66"
"TRUCK COST","$22,928","$32,236","$23,576","$24,920","$31,868","$25,144","$29,252","$34,979","$30,746","$28,490","$31,687","$28,355","$29,429","$37,121","$30,979","$29,841","$33,551","$0"
"UPS SHIPMENT COST","$72","$118","$103","$213","$90","$227","$121","$113","$104","$144","$50","$9","$53","$94","$0","$6","$248","$161"
"ED","56","83","40","47","55","70","64","58","59","54","60","63","71","88","53","42","69","51"
"ED RATE","4.03%","3.99%","2.70%","2.71%","2.45%","3.62%","3.25%","2.44%","2.74%","2.53%","2.38%","2.94%","3.37%","3.16%","2.67%","2.46%","2.93%","2.57%"
"RECALLS","44","91","70","76","109","104","120","126","122","132","145","114","129","153","90","78","146","140"
"RECALL RATE","3.30%","4.56%","4.86%","4.51%","4.98%","5.58%","6.30%","5.42%","5.82%","6.35%","5.89%","5.47%","6.33%","5.67%","4.65%","4.68%","6.40%","7.25%"
"N ATP PER CALL","1.01","1.00","1.00","1.01","1.00","1.01","0.98","0.96","0.98","0.92","0.94","0.96","0.95","0.96","0.98","0.92","1.00","1.02"
"REPAIR TIME PER CALL","36.87","36.59","37.96","38.39","38.00","35.84","35.94","35.31","34.94","36.78","35.81","36.31","35.88","35.30","34.87","33.22","37.70","38.05"
"TRAVEL TIME PER CALL","37.22","35.32","35.84","37.25","36.46","35.63","35.61","35.60","34.33","35.28","34.05","33.49","32.65","33.47","35.37","32.85","31.12","31.81"
"95910 - Part Unavailable","1,228","2,388","1,455","1,355","1,770","1,398","1,561","2,153","1,793","1,706","1,998","1,508","1,445","1,670","1,260","1,050","1,490","1,431"
"PPT PROFIT PER CALL","$51.40","$53.51","$49.38","$54.33","$58.50","$60.92","$61.53","$56.80","$58.46","$64.66","$63.61","$69.41","$59.63","$58.60","$48.85","$39.54","$53.62","$63.15"
"TOTAL REVENUE PER CALL","$133.58","$132.84","$130.37","$130.97","$131.92","$129.92","$131.33","$131.37","$129.94","$131.93","$130.49","$129.83","$124.43","$126.31","$123.57","$124.42","$123.61","$116.55"
"PPT COST PER CALL","$82.18","$79.33","$81.00","$76.64","$73.42","$69.00","$69.80","$74.58","$71.48","$67.26","$66.88","$60.41","$64.80","$67.71","$74.72","$84.88","$69.99","$53.40"
"LABOR REVENUE PER CALL","$131.81","$131.67","$129.30","$130.15","$130.65","$129.82","$131.24","$131.37","$129.93","$131.36","$130.49","$129.60","$124.43","$126.26","$123.57","$124.42","$123.57","$116.55"
